Time,Open,High,Low,Close,Volume
04/13/2021 10:00:00,34.9069,35.5321,34.7855,35.3874,4909.12
04/13/2021 11:00:00,35.4545,35.4664,34.8457,34.8457,2343.07
04/13/2021 12:00:00,34.8463,34.9745,34.4625,34.804,4115.31
04/13/2021 13:00:00,34.823,35.4845,34.735,34.9929,5762.19
04/13/2021 14:00:00,34.9548,35.6985,34.9547,35.6662,4645.4
04/13/2021 15:00:00,35.6492,35.6949,35.0514,35.1116,3567.79
04/13/2021 16:00:00,35.1116,35.2767,34.4435,35.1207,12787.42
04/13/2021 17:00:00,35.0489,36.2607,35.0489,36.0456,14922.47
04/13/2021 18:00:00,36.0629,36.1198,34.4379,35.0469,8846.5
04/13/2021 19:00:00,35.0492,35.4444,34.9775,35.39,9648.67
04/13/2021 20:00:00,35.3228,35.5,35.1528,35.5,2171.37
04/13/2021 21:00:00,35.5019,35.7256,35.3063,35.4423,6007.1
04/13/2021 22:00:00,35.4423,35.549,34.9637,35.2283,2299.7
04/13/2021 23:00:00,35.3248,35.6094,35.1183,35.49,5221.69
04/14/2021 00:00:00,35.4236,36.1319,35.4181,35.7961,7326.47
04/14/2021 01:00:00,35.7679,36.6585,35.5643,36.4359,7092.89
04/14/2021 02:00:00,36.4359,36.7614,36.2489,36.4292,5907.08
04/14/2021 03:00:00,36.4602,36.5506,35.9095,36.3651,2609.56
04/14/2021 04:00:00,36.421,36.8287,36.0994,36.2568,5501.07
04/14/2021 05:00:00,36.2568,36.8289,36.0395,36.319,8339.9
04/14/2021 06:00:00,36.3073,36.4787,35.9971,36.0055,5657.15
04/14/2021 07:00:00,36.0054,36.2088,35.6923,36.0544,4555.03
04/14/2021 08:00:00,36.0054,36.4232,35.2,35.256,4493.01
04/14/2021 09:00:00,35.3261,35.7021,34.4176,34.928,13231.85
04/14/2021 10:00:00,35.005,35.2979,34.9342,34.969,7047.17
04/14/2021 11:00:00,34.9511,35.4253,34.8682,35.2993,2199.81
04/14/2021 12:00:00,35.2454,35.2847,34.7309,34.7309,3815.62
